cancer,morbidity,cancer_size,morbid_size,pre_diag,post_diag,total,pre_diag_perc,post_diag_perc,total_perc
Digestive,Cardiac_conduction_defects,534,998,26,24,50,0.04868913857677903,0.0449438202247191,0.09363295880149813
Digestive,Cardiomyopathy_other,534,268,5,2,7,0.009363295880149813,0.003745318352059925,0.013108614232209739
Digestive,Cardiovascular_disease,534,7983,195,76,271,0.3651685393258427,0.14232209737827714,0.5074906367041199
Digestive,Cerebral_Palsy,534,34,0,0,0,0.0,0.0,0.0
Digestive,Cerebrovascular_disease,534,1426,31,11,42,0.05805243445692884,0.020599250936329586,0.07865168539325842
Digestive,Cervical_dysplasia,534,366,2,1,3,0.003745318352059925,0.0018726591760299626,0.0056179775280898875
Digestive,Cholelithiasis,534,2997,74,35,109,0.13857677902621723,0.06554307116104868,0.20411985018726592
Digestive,Chronic_Kidney_Disease,534,3200,86,49,135,0.16104868913857678,0.09176029962546817,0.25280898876404495
Digestive,Chronic_fatigue,534,2439,19,15,34,0.035580524344569285,0.028089887640449437,0.06367041198501873
Digestive,Chronic_sinusitis,534,8816,83,25,108,0.15543071161048688,0.04681647940074907,0.20224719101123595
Digestive,Chronic_ulcer_of_the_skin,534,1106,19,14,33,0.035580524344569285,0.026217228464419477,0.06179775280898876
Digestive,Chronic_viral_hepatitis,534,901,31,5,36,0.05805243445692884,0.009363295880149813,0.06741573033707865
Digestive,Coeliac_disease,534,188,2,1,3,0.003745318352059925,0.0018726591760299626,0.0056179775280898875
Digestive,Collapsed_vertebra,534,93,0,2,2,0.0,0.003745318352059925,0.003745318352059925
Digestive,Congenital_cardiac_disease,534,547,8,2,10,0.0149812734082397,0.003745318352059925,0.018726591760299626
Digestive,Constipation,534,11767,174,99,273,0.3258426966292135,0.1853932584269663,0.5112359550561798
Digestive,Coronary_heart_disease,534,5036,138,32,170,0.25842696629213485,0.0599250936329588,0.31835205992509363
Digestive,Crohns_disease,534,391,9,3,12,0.016853932584269662,0.0056179775280898875,0.02247191011235955
Digestive,Cystic_Fibrosis,534,18,0,0,0,0.0,0.0,0.0
Digestive,Cystic_renal_disease,534,84,2,1,3,0.003745318352059925,0.0018726591760299626,0.0056179775280898875
Digestive,Dementia,534,553,11,13,24,0.020599250936329586,0.024344569288389514,0.0449438202247191
Digestive,Depression,534,11875,154,43,197,0.2883895131086142,0.08052434456928839,0.36891385767790263
Digestive,Dermatitis_atopc_contact_other_unspecified,534,14912,165,30,195,0.3089887640449438,0.056179775280898875,0.3651685393258427
Digestive,Diabetic_eye_disease,534,5952,134,38,172,0.250936329588015,0.07116104868913857,0.32209737827715357
Digestive,Diabetic_neurological_complications,534,647,20,11,31,0.03745318352059925,0.020599250936329586,0.05805243445692884
Digestive,Disorders_of_autonomic_nervous_system,534,225,5,6,11,0.009363295880149813,0.011235955056179775,0.020599250936329586
Digestive,Diverticular_disease_of_intestine,534,1158,35,32,67,0.06554307116104868,0.0599250936329588,0.1254681647940075
Digestive,Downs_syndrome,534,6,0,0,0,0.0,0.0,0.0
Digestive,Dysmenorrhoea,534,2558,15,4,19,0.028089887640449437,0.00749063670411985,0.035580524344569285
Digestive,Eating_disorders,534,948,15,15,30,0.028089887640449437,0.028089887640449437,0.056179775280898875
Digestive,End_stage_renal_disease,534,382,10,5,15,0.018726591760299626,0.009363295880149813,0.028089887640449437
Digestive,Endometriosis,534,1484,10,6,16,0.018726591760299626,0.011235955056179775,0.0299625468164794
Digestive,Enteropathic_arthropathy,534,25,0,1,1,0.0,0.0018726591760299626,0.0018726591760299626
Digestive,Enthesopathies__synovial_disorders,534,11841,181,39,220,0.3389513108614232,0.07303370786516854,0.41198501872659177
Digestive,Epilepsy,534,626,10,3,13,0.018726591760299626,0.0056179775280898875,0.024344569288389514
Digestive,Erectile_dysfunction,534,4115,82,21,103,0.15355805243445692,0.03932584269662921,0.19288389513108614
Digestive,Female_genital_prolapse,534,1591,32,7,39,0.0599250936329588,0.013108614232209739,0.07303370786516854
Digestive,Female_infertility,534,2087,10,0,10,0.018726591760299626,0.0,0.018726591760299626
Digestive,Fibromyalgia,534,1183,23,5,28,0.04307116104868914,0.009363295880149813,0.052434456928838954
Digestive,Folate_deficiency_with_and_without_anaemia,534,3544,29,21,50,0.054307116104868915,0.03932584269662921,0.09363295880149813
Digestive,Fracture_of_hip,534,109,0,5,5,0.0,0.009363295880149813,0.009363295880149813
Digestive,Gastritis_and_duodenitis,534,10359,224,67,291,0.41947565543071164,0.1254681647940075,0.5449438202247191
Digestive,Gastro-oesophageal_reflux_disease,534,11092,160,68,228,0.299625468164794,0.12734082397003746,0.42696629213483145
Digestive,Gastroinstetinal_polyp,534,2864,133,74,207,0.24906367041198502,0.13857677902621723,0.38764044943820225
Digestive,Gastrointestinal_angiodysplasia,534,97,6,9,15,0.011235955056179775,0.016853932584269662,0.028089887640449437
Digestive,Giant_Cell_arteritis,534,69,2,1,3,0.003745318352059925,0.0018726591760299626,0.0056179775280898875
Digestive,Glaucoma,534,1006,25,11,36,0.04681647940074907,0.020599250936329586,0.06741573033707865
Digestive,Glomerulonephritis_and_other_nephritides,534,718,15,4,19,0.028089887640449437,0.00749063670411985,0.035580524344569285
Digestive,Gout,534,1146,19,10,29,0.035580524344569285,0.018726591760299626,0.054307116104868915
Digestive,HIV,534,68,1,1,2,0.0018726591760299626,0.0018726591760299626,0.003745318352059925
Digestive,Hearing_loss,534,3750,61,29,90,0.11423220973782772,0.054307116104868915,0.16853932584269662
Digestive,Heart_failure,534,1654,32,28,60,0.0599250936329588,0.052434456928838954,0.11235955056179775
Digestive,Heart_valve_disease_non-rheumatic,534,1600,28,41,69,0.052434456928838954,0.07677902621722846,0.12921348314606743
Digestive,Hidradenitis_suppurativa,534,263,0,2,2,0.0,0.003745318352059925,0.003745318352059925
Digestive,Hyperparathyroidism,534,160,2,0,2,0.003745318352059925,0.0,0.003745318352059925
